TF	target	mode
AATF	BAX	-1
AATF	MYC	1
ABL1	BAX	1
ABL1	BCL2	-1
ABL1	BCL6	-1
ABL1	CCND2	1
ABL1	CDKN1A	1
ABL1	CSF1	1
ABL1	FOXO3	1
ABL1	JUN	1
ABL1	JUN	-1
ABL1	PIM1	1
ABL1	TP53	1
AES	LEF1	1
AES	RND3	1
AHR	CA9	-1
AHR	CCNG2	1
AHR	CYP1A1	1
AHR	CYP1A1	-1
AHR	CYP1B1	1
AHR	IL6	1
AHR	PCNA	1
AHR	RFC3	1
AIP	AHR	1
AIP	GREB1	-1
AIP	NFKB2	-1
AIP	RSF1	-1
AIP	TFF1	-1
ANKRD1	NPPA	-1
APBB1	GMPS	-1
APC	AKT1	-1
APC	AMHR2	-1
APC	DNMT1	-1
APC	MYC	-1
APC	NOS2	1
APC	ODC1	-1
APC	PTGS2	-1
APC	SGK1	-1
APEX1	CCL2	1
APEX1	CD19	1
APEX1	CYP11B2	-1
APEX1	NFKB1	1
APEX1	PTH	-1
APEX1	RELA	1
APEX1	SLC5A5	1
AR	ACTA1	1
AR	AKR1C3	-1
AR	AKT1	1
AR	AKT1	-1
AR	ARG1	1
AR	ARG2	1
AR	BTG1	-1
AR	BTG2	-1
AR	CDK20	1
AR	CDC6	1
AR	CDH1	-1
AR	CDH2	1
AR	CDKN1A	1
AR	CDKN1A	-1
AR	CLK3	-1
AR	CRH	-1
AR	CTNNB1	1
AR	CYP7B1	-1
AR	EGFR	1
AR	EP300	1
AR	ERBB2	1
AR	ERBB3	1
AR	ETV1	1
AR	HMOX1	1
AR	IGF1R	1
AR	JUN	1
AR	KISS1	1
AR	KLK3	1
AR	KLK3	-1
AR	MUC1	-1
AR	NAT1	1
AR	NFKB1	-1
AR	NKX3-1	1
AR	NRAS	-1
AR	PC	1
AR	PTEN	1
AR	PTGS2	-1
AR	RELA	-1
AR	REST	-1
AR	SEPT7	-1
AR	SERPINB5	-1
AR	TGFA	1
AR	TH	1
AR	TJP1	1
AR	TMPRSS2	1
AR	TSC1	-1
AR	TSC2	-1
AR	UCN	-1
AR	VEGFA	1
AR	VIM	-1
AR	WEE1	-1
AR	XIAP	-1
ARID3A	PML	1
ARNT	CA9	1
ARNT	CCNE1	-1
ARNT	CDK2	-1
ARNT	CYP1A1	1
ARNT	CYP1B1	1
ARNT	EPO	1
ARNT	FOS	-1
ARNT	HIF1A	1
ARNT	JUN	-1
ARNTL	BHLHE40	1
ARNTL	CRY1	1
ARNTL	CRY2	1
ARNTL	PER1	1
ARNTL	PER2	1
ARNTL	PER3	1
ARNTL2	SERPINE1	1
ASCL1	DKK1	-1
ASCL1	PCSK6	-1
ASCL1	TPH1	-1
ATF1	CCNA1	-1
ATF1	CFTR	1
ATF1	FTH1	1
ATF1	FTH1	-1
ATF1	IL10	1
ATF1	MAP1LC3B	1
ATF1	MITF	1
ATF1	PCSK1	1
ATF1	SLC20A1	1
ATF1	TGFB2	1
ATF2	APOC3	1
ATF2	ATF3	1
ATF2	CCND1	1
ATF2	KAT5	-1
ATF2	IFNB1	1
ATF2	IFNG	1
ATF2	INS	1
ATF2	JUN	1
ATF2	MMP2	1
ATF2	NOS3	-1
ATF2	PCK1	1
ATF2	PLAT	1
ATF2	POLB	1
ATF2	RELA	1
ATF2	RETN	1
ATF2	ST3GAL5	1
ATF2	TGFB2	-1
ATF2	TNF	1
ATF3	ADIPOR1	-1
ATF3	ADIPOR2	-1
ATF3	ASNS	1
ATF3	DDIT3	1
ATF3	GDF15	1
ATF3	ID1	-1
ATF3	IFNG	1
ATF3	LDLR	-1
ATF3	MMP2	-1
ATF3	SELE	-1
ATF4	APOE	1
ATF4	ASNS	1
ATF4	ATF3	1
ATF4	ATG5	1
ATF4	CEBPB	1
ATF4	CHAC1	1
ATF4	DDIT3	1
ATF4	DDIT4	1
ATF4	DDR2	1
ATF4	FGF21	1
ATF4	HRK	1
ATF4	HSPA5	-1
ATF4	IGFBP1	1
ATF4	IRF7	-1
ATF4	MAP1LC3B	1
ATF4	NDC80	1
ATF4	NUPR1	1
ATF4	PLAU	1
ATF4	SIGMAR1	1
ATF4	SIRT1	1
ATF4	SIRT1	-1
ATF4	SIRT2	-1
ATF4	TRIB3	1
ATF4	VEGFA	1
ATF5	BCL2	1
ATF5	CCND3	1
ATF5	CREB1	1
ATF5	CYP2B6	1
ATF5	ID1	-1
ATF6	DNAJC3	1
ATF6	NR0B2	1
ATF6	NUCB1	1
ATF6	PDX1	-1
ATF6	RTN3	1
ATF7	TAF12	1
ATM	BAX	1
ATM	BCL2	-1
ATM	CFLAR	1
ATM	CFLAR	-1
ATM	DUSP1	1
ATM	FAS	1
ATM	FOXM1	1
ATM	GADD45A	1
ATM	KLRK1	1
ATM	MCL1	1
ATM	PMAIP1	-1
ATM	PVR	1
ATM	PVR	-1
ATM	SLC2A1	-1
ATM	SP1	-1
ATM	TERF1	-1
ATM	TNFRSF10B	-1
ATM	VEGFA	-1
ATOH1	MUC2	1
BACH1	HMOX1	1
BACH1	HMOX1	-1
BACH1	MMP1	1
BACH2	XBP1	-1
BARD1	ESR1	1
BCL11A	GATA1	1
BCL3	CTCF	-1
BCL3	EGFR	1
BCL3	NFKB1	-1
BCL6	BCL2L1	-1
BCL6	BCL6	-1
BCL6	CCND2	-1
BCL6	CD80	-1
BCL6	CDKN1A	-1
BCL6	CDKN2B	-1
BCL6	CHEK1	-1
BCL6	FCER2	-1
BCL6	HDAC7	-1
BCL6	IRF4	-1
BCL6	LITAF	-1
BCL6	MYC	1
BCL6	NFKB1	-1
BCL6	PDCD2	-1
BCL6	SUMO1	-1
BCL6	XBP1	-1
BHLHE41	CCND1	-1
BHLHE41	MLH1	-1
BMI1	TERT	-1
BRCA1	AREG	-1
BRCA1	ASPM	1
BRCA1	ATM	1
BRCA1	CDH3	-1
BRCA1	CDKN1A	1
BRCA1	CDKN1B	1
BRCA1	CTSD	-1
BRCA1	CXCL1	-1
BRCA1	CYP19A1	1
BRCA1	DDB2	1
BRCA1	DDIT3	1
BRCA1	E2F6	-1
BRCA1	EGFR	-1
BRCA1	EP300	1
BRCA1	ESR1	1
BRCA1	FOXC1	-1
BRCA1	FOXC2	-1
BRCA1	FST	1
BRCA1	GADD45A	1
BRCA1	GADD45A	-1
BRCA1	HMGA2	-1
BRCA1	HNRNPA2B1	-1
BRCA1	HSPA5	-1
BRCA1	IFNA1	1
BRCA1	IGF1	-1
BRCA1	IRF7	1
BRCA1	IRF9	1
BRCA1	KHSRP	-1
BRCA1	MAD2L1	1
BRCA1	MDM2	1
BRCA1	RNASEL	1
BRCA1	S100A2	1
BRCA1	SIRT1	1
BRCA1	STAT1	1
BRCA1	STAT2	1
BRCA1	TFF1	-1
BRCA1	VEGFA	1
BRD7	BRD2	1
BRD7	BRD3	1
BRD7	E2F3	-1
BTAF1	DR1	-1
BTAF1	TBP	-1
BTF3	ABL2	1
BTF3	ATM	1
BTF3	EPHB2	1
BTF3	HPSE2	1
BTF3	MADCAM1	-1
BTF3	NFKB1	-1
BTF3	RRAS2	-1
BTF3	SSPN	-1
BTG2	CCND1	-1
BTG2	HRAS	-1
BTG2	KLK3	-1
BTG2	SPHK1	1
CBFA2T3	ZNF652	-1
CBX7	CCNE1	-1
CBX7	CDH1	1
CBX8	CDKN1A	-1
CDCA7L	MAOB	-1
CDX1	PCNA	1
CDX1	PPARG	1
CDX1	PTGS2	1
CDX2	ACAT2	1
CDX2	APC	1
CDX2	CDH17	1
CDX2	CDKN1A	1
CDX2	CFTR	1
CDX2	ELMO3	1
CDX2	FUT2	1
CDX2	HEPH	1
CDX2	IGFBP3	-1
CDX2	KLF4	1
CDX2	LCT	1
CDX2	MEP1A	1
