TF1	TF2	corrE_A375	corrIE_A375	corrEZ_A375	corrIEZ_A375	Zobs(TCPS)_A375	p_value_A375	FDR_A375	negLog10_FDR_A375	corrE_HT29	corrIE_HT29	corrEZ_HT29	corrIEZ_HT29	Zobs(TCPS)_HT29	p_value_HT29	FDR_HT29	negLog10_FDR_HT29	negLog10_FDR_SUM
DENND4A	SFPQ	0.57043	0.05707	0.6481600000000001	0.05712999999999999	5.48413	4.155090000000001e-08	8.00729e-05	4.096509999999999	0.7119	0.18692	0.89102	0.18914	5.54885	2.8755299999999998e-08	0.000332486	3.4782300000000004	7.575
FOXO3	POU2F2	-0.5020100000000001	-0.05948	-0.55198	-0.05955	-4.56924	4.89485e-06	0.00140051	2.85371	-0.70219	-0.10336	-0.87161	-0.10372999999999999	-6.07061	1.27423e-09	4.3226099999999996e-05	4.36425	7.218
POLR1A	POU2F2	-0.7861100000000001	-0.41157	-1.0611700000000002	-0.4375	-5.78699	7.1659200000000004e-09	3.03634e-05	4.51765	-0.73721	-0.37928	-0.9443299999999999	-0.39921999999999996	-4.30947	1.6364400000000002e-05	0.0103402	1.98547	6.503
E2F8	POU2F2	-0.7861100000000001	-0.41157	-1.0611700000000002	-0.4375	-5.78699	7.1659200000000004e-09	3.03634e-05	4.51765	-0.73721	-0.37928	-0.9443299999999999	-0.39921999999999996	-4.30947	1.6364400000000002e-05	0.0103402	1.98547	6.503
E2F7	POU2F2	-0.7861100000000001	-0.41157	-1.0611700000000002	-0.4375	-5.78699	7.1659200000000004e-09	3.03634e-05	4.51765	-0.73721	-0.37928	-0.9443299999999999	-0.39921999999999996	-4.30947	1.6364400000000002e-05	0.0103402	1.98547	6.503
POU2F2	TCF7L2	0.6605800000000001	0.24843	0.79385	0.25373	5.01166	5.396370000000001e-07	0.000363261	3.4397800000000003	0.76951	0.33664	1.01912	0.3503	5.28751	1.23994e-07	0.000974913	3.01103	6.451
IFI16	TLX1	-0.73041	-0.32823	-0.9296	-0.34085	-5.4629900000000005	4.681719999999999e-08	8.6817e-05	4.0614	-0.713	-0.29817	-0.89326	-0.30751	-4.630780000000001	3.64293e-06	0.00492703	2.30741	6.369
FOXO3	POLR1A	0.53423	0.19942000000000001	0.59605	0.20213	3.6551199999999997	0.000257059	0.0147099	1.8323900000000002	0.73715	0.17521	0.9442	0.17703	6.06501	1.31945e-09	4.3226099999999996e-05	4.36425	6.197
E2F7	FOXO3	0.53423	0.19942000000000001	0.59605	0.20213	3.6551199999999997	0.000257059	0.0147099	1.8323900000000002	0.73715	0.17521	0.9442	0.17703	6.06501	1.31945e-09	4.3226099999999996e-05	4.36425	6.197
E2F8	FOXO3	0.53423	0.19942000000000001	0.59605	0.20213	3.6551199999999997	0.000257059	0.0147099	1.8323900000000002	0.73715	0.17521	0.9442	0.17703	6.06501	1.31945e-09	4.3226099999999996e-05	4.36425	6.197
AATF	RUNX3	-0.5269199999999999	0.0229	-0.58587	0.02291	-5.64881	1.61562e-08	4.47288e-05	4.34941	-0.6014	-0.23305	-0.69534	-0.23740999999999998	-3.6202400000000003	0.00029433	0.038187900000000004	1.4180700000000002	5.767
MYBL2	RUNX3	-0.6158399999999999	-0.12247999999999999	-0.71828	-0.12309	-5.52264	3.33939e-08	6.95656e-05	4.15761	-0.57294	-0.16317	-0.65188	-0.16464	-3.8519699999999997	0.000117169	0.024658700000000002	1.6080299999999998	5.766
ENO1	TLX1	-0.8966799999999999	-0.69767	-1.45499	-0.86274	-5.49547	3.8967999999999995e-08	7.58389e-05	4.1201099999999995	-0.85655	-0.6825399999999999	-1.28023	-0.83386	-3.5288800000000005	0.000417322	0.0450223	1.34657	5.467
MXI1	TLX1	-0.8966799999999999	-0.69767	-1.45499	-0.86274	-5.49547	3.8967999999999995e-08	7.58389e-05	4.1201099999999995	-0.85655	-0.6825399999999999	-1.28023	-0.83386	-3.5288800000000005	0.000417322	0.0450223	1.34657	5.467
CEBPE	MYBL2	-0.57134	-0.1964	-0.64951	-0.19898	-4.18046	2.90924e-05	0.0041894	2.37785	-0.55286	0.04945	-0.62249	0.04949	-5.3124400000000005	1.0816599999999999e-07	0.0008858989999999999	3.05262	5.430
ENO1	RUNX3	0.63155	0.17701	0.7439899999999999	0.17889000000000002	5.243530000000001	1.5753e-07	0.00017810799999999998	3.7493199999999995	0.57836	0.16756	0.65999	0.16915	3.88038	0.00010429200000000001	0.0235364	1.62826	5.378
MXI1	RUNX3	0.63155	0.17701	0.7439899999999999	0.17889000000000002	5.243530000000001	1.5753e-07	0.00017810799999999998	3.7493199999999995	0.57836	0.16756	0.65999	0.16915	3.88038	0.00010429200000000001	0.0235364	1.62826	5.378
IFI16	RUNX3	0.37839	-0.13634000000000002	0.39818000000000003	-0.1372	4.96773	6.77425e-07	0.000418735	3.37806	0.46335	-0.03601	0.50157	-0.03603	4.25013	2.13646e-05	0.0118002	1.9281099999999998	5.306
