sig_or_ran	sig_TCP_type	database	all_prot	GS	sig_prot	hit	p-value	hit_prot_list
sig	pos	TSgene	14397	878	42	13	9.423710843727668e-08	{'PIAS1', 'KAT5', 'SMAD2', 'VIM', 'BRCA1', 'SMARCB1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'RB1', 'CDKN1A', 'PIN1'}
sig	pos	uniprot(tumor_suppressor)	14397	658	42	16	1.1808729321743132e-12	{'ACTB', 'MEOX2', 'CDK4', 'PIAS1', 'KAT5', 'DAXX', 'SMAD2', 'PIN1', 'BRCA1', 'CCND1', 'UBE2I', 'SMARCB1', 'TCF4', 'TP53', 'RB1', 'RELA'}
sig	neg	TTD	14397	464	43	8	7.379592984162213e-06	{'CDK4', 'CCND1', 'MYC', 'CREBBP', 'KDM1A', 'E2F1', 'TP53', 'AR'}
sig	neg	uniprot(oncogene)	14397	1408	43	25	3.673056179408914e-16	{'NMI', 'SMAD3', 'CCND1', 'SMARCB1', 'KDM1A', 'TP53', 'E2F1', 'CDK4', 'PIAS1', 'DAXX', 'BRCA1', 'UBE2I', 'TCF4', 'RB1', 'REL', 'TRAF1', 'YY1', 'VIM', 'MYC', 'AR', 'CDKN1A', 'PIN1', 'FHL2', 'CREBBP', 'ZBTB16'}
ran1	pos	TSgene	14397	878	9	3	0.0013514416969124471	{'TP53', 'CREBBP', 'CDKN1A'}
ran1	pos	uniprot(tumor_suppressor)	14397	658	9	3	0.0004531526388944912	{'UBE2I', 'MEOX2', 'TP53'}
ran1	neg	TTD	14397	464	9	2	0.0024165472530489267	{'TP53', 'CREBBP'}
ran1	neg	uniprot(oncogene)	14397	1408	9	6	2.5437999178141017e-06	{'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran2	pos	TSgene	14397	878	19	6	8.070219974446874e-05	{'VIM', 'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran2	pos	uniprot(tumor_suppressor)	14397	658	19	5	0.00014494810871946908	{'MEOX2', 'MTUS2', 'BRCA1', 'UBE2I', 'TP53'}
ran2	neg	TTD	14397	464	19	3	0.0028084358496072263	{'TP53', 'AR', 'CREBBP'}
ran2	neg	uniprot(oncogene)	14397	1408	19	13	5.000338270118352e-11	{'REL', 'TRAF1', 'SMAD3', 'DAXX', 'PIN1', 'BRCA1', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran3	pos	TSgene	14397	878	20	6	0.00011765072292821157	{'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'IKZF3', 'CDKN1A'}
ran3	pos	uniprot(tumor_suppressor)	14397	658	20	8	8.798435570243381e-08	{'MEOX2', 'MTUS2', 'LZTS2', 'TRAF2', 'UBE2I', 'ESR1', 'TP53', 'RELA'}
ran3	neg	TTD	14397	464	13	2	0.007474175261657429	{'TP53', 'CREBBP'}
ran3	neg	uniprot(oncogene)	14397	1408	13	8	3.966267021927778e-07	{'REL', 'SMAD3', 'PIN1', 'UBE2I', 'CREBBP', 'TP53', 'CDKN1A', 'RELA'}
ran4	pos	TSgene	14397	878	12	3	0.00458142047730011	{'ESR1', 'CREBBP', 'CDKN1A'}
ran4	pos	uniprot(tumor_suppressor)	14397	658	12	5	6.500080034812936e-06	{'MEOX2', 'TRAF2', 'UBE2I', 'ESR1', 'RELA'}
ran4	neg	TTD	14397	464	15	2	0.011335896981570462	{'CREBBP', 'AR'}
ran4	neg	uniprot(oncogene)	14397	1408	15	10	7.10599264951663e-09	{'REL', 'TRAF1', 'SMAD3', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'AR', 'CDKN1A', 'RELA'}
ran5	pos	TSgene	14397	878	27	8	1.933176479387337e-05	{'VIM', 'BRCA1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran5	pos	uniprot(tumor_suppressor)	14397	658	27	8	1.8398356528609127e-06	{'MEOX2', 'SETDB1', 'PIN1', 'BRCA1', 'UBE2I', 'TCF4', 'TP53', 'RELA'}
ran5	neg	TTD	14397	464	7	1	0.01954764354408272	{'TP53'}
ran5	neg	uniprot(oncogene)	14397	1408	7	4	0.00015761152277368043	{'SMAD3', 'TP53', 'CDKN1A', 'UBE2I'}
ran6	pos	TSgene	14397	878	14	5	9.938950648043422e-05	{'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran6	pos	uniprot(tumor_suppressor)	14397	658	14	4	0.00027856883940931076	{'UBE2I', 'MEOX2', 'TP53', 'TCF4'}
ran6	neg	TTD	14397	464	13	2	0.007474175261657429	{'TP53', 'CREBBP'}
ran6	neg	uniprot(oncogene)	14397	1408	13	9	1.685449590467479e-08	{'SMAD3', 'BRCA1', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'TP53', 'NCOA1', 'CDKN1A'}
ran7	pos	TSgene	14397	878	13	4	0.0007108642055867791	{'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran7	pos	uniprot(tumor_suppressor)	14397	658	13	5	1.1605035950199785e-05	{'MEOX2', 'MTUS2', 'UBE2I', 'TP53', 'PIN1'}
ran7	neg	TTD	14397	464	19	2	0.021952297609847144	{'TP53', 'CREBBP'}
ran7	neg	uniprot(oncogene)	14397	1408	19	12	1.0974478810820058e-09	{'REL', 'TRAF1', 'SMAD3', 'VIM', 'BRCA1', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran8	pos	TSgene	14397	878	12	5	3.399682993710784e-05	{'CDKN1A', 'CREBBP', 'ZBTB16', 'TP53', 'RANBP9'}
ran8	pos	uniprot(tumor_suppressor)	14397	658	12	4	0.0001189576464024374	{'DAXX', 'MEOX2', 'TP53', 'UBE2I'}
ran8	neg	TTD	14397	464	21	3	0.00412126439807944	{'TP53', 'AR', 'CREBBP'}
ran8	neg	uniprot(oncogene)	14397	1408	21	12	6.819177646914558e-09	{'REL', 'TRAF1', 'SMAD3', 'TSG101', 'UBE2I', 'FHL2', 'CREBBP', 'TCF4', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran9	pos	TSgene	14397	878	17	5	0.0003496249139809331	{'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran9	pos	uniprot(tumor_suppressor)	14397	658	17	6	5.252398616965054e-06	{'MEOX2', 'BRCA1', 'TRAF2', 'UBE2I', 'TP53', 'EP300'}
ran9	neg	TTD	14397	464	14	2	0.009287809186985444	{'TP53', 'CREBBP'}
ran9	neg	uniprot(oncogene)	14397	1408	14	9	5.3791461742633986e-08	{'REL', 'TRAF1', 'SMAD3', 'BRCA1', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran10	pos	TSgene	14397	878	7	2	0.006571575896688895	{'CREBBP', 'CDKN1A'}
ran10	pos	uniprot(tumor_suppressor)	14397	658	7	2	0.0028968597080227263	{'UBE2I', 'MEOX2'}
ran10	neg	TTD	14397	464	13	2	0.007474175261657429	{'TP53', 'CREBBP'}
ran10	neg	uniprot(oncogene)	14397	1408	13	7	6.736923686146545e-06	{'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'RELA'}
ran11	pos	TSgene	14397	878	15	6	1.2789078049929417e-05	{'PIAS1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran11	pos	uniprot(tumor_suppressor)	14397	658	15	7	8.832055922427504e-08	{'MEOX2', 'EGFR', 'PIAS1', 'TRAF2', 'UBE2I', 'TCF4', 'TP53'}
ran11	neg	TTD	14397	464	20	3	0.003422243074008911	{'TP53', 'AR', 'CREBBP'}
ran11	neg	uniprot(oncogene)	14397	1408	20	15	2.1438421084263848e-13	{'REL', 'TRAF1', 'SMAD3', 'VIM', 'PIN1', 'BRCA1', 'UBE2I', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'AR', 'NCOA1', 'CDKN1A', 'RELA'}
ran12	pos	TSgene	14397	878	24	8	6.367759478951507e-06	{'VIM', 'BRCA1', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran12	pos	uniprot(tumor_suppressor)	14397	658	24	10	2.424316496549536e-09	{'MEOX2', 'MTUS2', 'SETDB1', 'PIN1', 'BRCA1', 'TRAF2', 'UBE2I', 'ESR1', 'TP53', 'RELA'}
ran12	neg	TTD	14397	464	21	5	3.8981371743122564e-05	{'STAT3', 'ESR1', 'CREBBP', 'TP53', 'AR'}
ran12	neg	uniprot(oncogene)	14397	1408	21	14	2.0525966833160282e-11	{'STAT3', 'SMAD3', 'VIM', 'BRCA1', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran13	pos	TSgene	14397	878	11	4	0.0002827819094862583	{'TP53', 'BRCA1', 'CDKN1A', 'CREBBP'}
ran13	pos	uniprot(tumor_suppressor)	14397	658	11	4	7.210032708179427e-05	{'UBE2I', 'MEOX2', 'BRCA1', 'TP53'}
ran13	neg	TTD	14397	464	18	3	0.00227446195616126	{'TP53', 'CREBBP', 'AR'}
ran13	neg	uniprot(oncogene)	14397	1408	18	9	1.6269979428210784e-06	{'REL', 'SMAD3', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A'}
ran14	pos	TSgene	14397	878	23	6	0.00031668704416330627	{'PIAS1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran14	pos	uniprot(tumor_suppressor)	14397	658	23	9	2.476834254184015e-08	{'MEOX2', 'PIAS1', 'DAXX', 'UBE2I', 'TCF4', 'PIAS2', 'TP53', 'EP300', 'RELA'}
ran14	neg	TTD	14397	464	8	3	6.725277176487294e-05	{'TP53', 'CREBBP', 'AR'}
ran14	neg	uniprot(oncogene)	14397	1408	8	6	6.178483924656449e-07	{'SMAD3', 'UBE2I', 'CREBBP', 'TP53', 'AR', 'CDKN1A'}
ran15	pos	TSgene	14397	878	19	6	8.070219974446874e-05	{'BRCA1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
