Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	117/1478	1.0403923011950042e-104	5.3091219129981064e-101	0	0	10.770207947861149	2578.7028308663125	RB1;CRTC1;EHMT2;YEATS4;PRDM1;ENO1;YY1;HOXA10;SPIB;SOX17;RUVBL1;EP300;HOXA1;PITX2;ZNF202;MEF2A;EBF3;RFX1;FOXP3;RUNX3;HIC1;HCFC1;MYCN;PGR;NUPR1;DLX4;MAX;DLX5;FOXG1;GATA6;FOXO4;FOXO3;GATA2;ZBTB5;HIF1A;E4F1;ZNF300;HEXIM1;CBX8;ZBTB17;EGR1;ZNF143;CREBBP;SMAD4;DR1;SMAD3;POU2F1;SMURF2;ECD;NFATC3;SMARCA4;MLLT10;BCL6;SP1;SP4;SP3;ID4;TCF4;TP73;RNF14;SIX1;YBX1;AATF;HHEX;HNF4A;HEY2;MYBL2;NCOA1;MYOCD;POU1F1;FOXL2;PAX6;FOS;SIRT1;PAX2;ELF1;SFPQ;TFDP1;RBL1;MYOD1;IRF1;MTF1;RARA;RARB;CEBPE;NR1I2;ASCL1;IFI16;NFIL3;MXI1;NRIP1;E2F1;E2F3;APBB1;E2F4;E2F6;E2F7;SPDEF;E2F8;TCFL5;TCF7L2;CDX2;KCNIP3;NFYC;DEK;KLF4;TBX5;POU4F1;POU4F2;TBX3;TBX2;REST;KLF5;NFIA;POU2AF1;KLF9;RBMX
GO_Biological_Process_2018	regulation of transcription, DNA-templated (GO:0006355)	96/1598	6.354858575697262e-69	1.6214421655891564e-65	0	0	8.173482158820976	1283.4749703759599	RB1;RNF14;SIX1;YEATS4;ENO1;YBX1;AATF;PHB2;BACH2;YY1;SPIB;HHEX;SOX17;SALL4;HNF4A;RUVBL1;HEY2;EP300;MYBL2;PITX2;NCOA1;MYOCD;POU1F1;TSC22D3;EBF3;FOXL2;PAX6;RFX1;FOS;FOXP3;RUNX3;SIRT1;HIC1;PAX2;HCFC1;ILF3;ELF1;SFPQ;MYCN;TFDP1;MYOD1;IRF1;MTF1;RARA;NUPR1;DLX4;DLX5;FOXG1;NR1I2;TWIST2;GATA6;FOXO4;FOXO3;ASCL1;HIF1A;IFI16;NFIL3;HLTF;NRIP1;E2F1;APBB1;ZBTB7A;ZNF300;SPDEF;TCFL5;HEXIM1;EGR1;ZNF143;TCF7L2;CREBBP;SMAD4;SMAD3;ZNF383;POU2F1;CDX2;SMURF2;DENND4A;KCNIP3;NFYC;NFATC3;DEK;KLF4;TBX5;TBX3;SMARCA4;TBX2;REST;BCL6;NFIA;SP1;SP4;SP3;KLF9;ID4;TCF4;TP73
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	85/1120	1.3063818050128944e-67	2.2221554503269332e-64	0	0	10.325558794946552	1590.1973871630362	RB1;CRTC1;RNF14;SIX1;YEATS4;YBX1;AATF;HOXA10;SPIB;HHEX;SOX17;HNF4A;HEY2;EP300;HOXA1;MYBL2;PITX2;NCOA1;MEF2A;MYOCD;POU1F1;EBF3;FOXL2;PAX6;FOS;FOXP3;RUNX3;SIRT1;PAX2;HCFC1;ILF3;ELF1;SFPQ;MYCN;TFDP1;RBL1;MYOD1;IRF1;MTF1;RARA;RARB;PGR;DLX5;CEBPE;NR1I2;GATA6;FOXO4;FOXO3;ASCL1;GATA2;HIF1A;IFI16;NRIP1;E2F1;E2F3;APBB1;E2F4;E2F7;ZNF300;E2F8;ZBTB17;EGR1;ZNF143;TCF7L2;CREBBP;SMAD4;SMAD3;POU2F1;ECD;NFATC3;KLF4;TBX5;POU4F1;POU4F2;SMARCA4;MLLT10;REST;KLF5;NFIA;SP1;POU2AF1;SP3;TCF4;RBMX;TP73
GO_Biological_Process_2018	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	76/848	1.1490981171266095e-64	1.4659619229242717e-61	0	0	12.1935566679502	1795.2142874439387	CRTC1;SIX1;YEATS4;YBX1;AATF;HOXA10;SPIB;HHEX;SOX17;HNF4A;HEY2;EP300;HOXA1;MYBL2;PITX2;NCOA1;MEF2A;MYOCD;POU1F1;EBF3;PAX6;FOS;FOXP3;SIRT1;PAX2;ELF1;SFPQ;MYCN;TFDP1;RBL1;MYOD1;IRF1;MTF1;RARA;RARB;PGR;DLX5;CEBPE;NR1I2;FOXO4;FOXO3;ASCL1;GATA2;HIF1A;IFI16;NRIP1;E2F1;E2F3;E2F4;E2F7;ZNF300;E2F8;ZBTB17;EGR1;ZNF143;TCF7L2;CREBBP;SMAD4;SMAD3;POU2F1;ECD;NFATC3;KLF4;TBX5;POU4F1;POU4F2;SMARCA4;MLLT10;KLF5;NFIA;SP1;POU2AF1;SP3;TCF4;RBMX;TP73
GO_Biological_Process_2018	negative regulation of transcription, DNA-templated (GO:0045892)	67/813	1.414184668906704e-53	1.4433168730861817e-50	0	0	11.212357021529398	1364.4368474112682	RB1;EHMT2;PRDM1;ENO1;PHB2;YY1;HHEX;HEY2;EP300;ZNF202;MEF2A;FOXL2;FOXP3;RUNX3;SIRT1;HIC1;PAX2;HCFC1;ILF3;SFPQ;IRF1;RARA;RARB;DLX4;MAX;FOXG1;NR1I2;TWIST2;GATA6;FOXO3;ASCL1;ZBTB5;IFI16;NFIL3;MXI1;NRIP1;E2F1;E4F1;APBB1;E2F6;ZBTB7A;E2F7;SPDEF;E2F8;TCFL5;HEXIM1;CBX8;TCF7L2;CREBBP;SMAD4;DR1;SMAD3;POU2F1;CDX2;SMURF2;KLF4;POU4F1;POU4F2;TBX3;SMARCA4;TBX2;REST;BCL6;NFIA;SP3;ID4;TP73
GO_Biological_Process_2018	negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	56/565	2.0536736615312048e-48	1.74664944913229e-45	0	0	13.485040033712599	1480.7174613646014	RB1;EHMT2;PRDM1;ENO1;YY1;HHEX;HEY2;EP300;ZNF202;MEF2A;RUNX3;SIRT1;HIC1;HCFC1;SFPQ;RARA;RARB;DLX4;MAX;NR1I2;GATA6;FOXO3;ASCL1;ZBTB5;IFI16;NFIL3;MXI1;NRIP1;E2F1;E4F1;APBB1;E2F6;E2F7;SPDEF;E2F8;TCFL5;HEXIM1;CBX8;TCF7L2;CREBBP;SMAD4;DR1;SMAD3;CDX2;SMURF2;NFATC3;KLF4;POU4F1;POU4F2;TBX3;SMARCA4;TBX2;REST;BCL6;NFIA;TP73
GO_Biological_Process_2018	positive regulation of nucleic acid-templated transcription (GO:1903508)	44/502	3.64374563913287e-35	2.656290570927862e-32	0	0	11.925088760603845	945.6293215007337	RB1;DLX5;RNF14;NR1I2;GATA6;SIX1;YEATS4;FOXO3;HIF1A;SOX17;HNF4A;NRIP1;E2F1;EP300;MYBL2;APBB1;NCOA1;EGR1;CREBBP;SMAD4;MYOCD;POU1F1;SMAD3;EBF3;FOXL2;PAX6;FOS;KLF4;TBX5;FOXP3;RUNX3;PAX2;SMARCA4;HCFC1;ILF3;ELF1;REST;MYCN;SP1;IRF1;SP3;RARA;TCF4;TP73
GO_Biological_Process_2018	transcription from RNA polymerase II promoter (GO:0006366)	41/485	4.734805762580456e-32	3.0202142258060084e-29	0	0	11.501507819622695	829.578251809347	GCM2;MAX;SRSF1;NR1I2;GATA6;FOXO4;YBX1;HIF1A;BACH2;SOX17;SALL4;HNF4A;E2F3;NFRKB;ZNF202;TCFL5;EGR1;ZNF143;CREBBP;POU1F1;POU2F1;CDX2;ECD;NFATC3;PAX6;DEK;POU2F2;KLF4;TBX5;RUNX3;PAX2;HCFC1;KLF5;SP1;POU2AF1;IRF1;RARA;RARB;PGR;TCF4;RBMX
GO_Biological_Process_2018	positive regulation of gene expression (GO:0010628)	47/771	1.679377972732603e-30	9.522073105393859e-28	0	0	8.293849316639756	568.6190878542358	RB1;DLX5;RNF14;NR1I2;GATA6;SIX1;YEATS4;FOXO3;HIF1A;SOX17;HNF4A;NRIP1;E2F1;EP300;MYBL2;APBB1;NCOA1;EGR1;CREBBP;SMAD4;MYOCD;POU1F1;SMAD3;EBF3;FOXL2;PAX6;DEK;FOS;KLF4;TBX5;POU4F1;FOXP3;RUNX3;PAX2;SMARCA4;HCFC1;ILF3;ELF1;REST;MYCN;SP1;POLR1A;IRF1;SP3;RARA;TCF4;TP73
GO_Biological_Process_2018	transcription, DNA-templated (GO:0006351)	34/356	2.8899566834312714e-28	1.4747448955549775e-25	0	0	12.993961629595658	823.9619342156286	GCM2;MAX;GATA6;FOXO4;YBX1;FOXO3;GATA2;HIF1A;BACH2;SALL4;E2F1;NFRKB;ZNF202;TCFL5;NCOA1;MEF2A;EGR1;ZNF143;POU1F1;CDX2;ECD;NFATC3;PAX6;DEK;POU2F2;KLF4;RUNX3;PAX2;HCFC1;KLF5;POU2AF1;IRF1;TCF4;RBMX
