Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	TGF-beta signaling pathway	11/90	5.86432785510702e-11	1.8062129793729625e-08	0	0	16.628873771730913	391.76875230713347	CREBBP;SMAD4;RBL1;TFDP1;SMAD3;SMURF2;SP1;ID4;EP300;E2F4;PITX2
KEGG_2019_Human	Cell cycle	12/124	1.2422963059239592e-10	1.913136311122897e-08	0	0	13.166556945358787	300.31454118874865	RB1;RBL2;ZBTB17;CREBBP;SMAD4;SMAD3;TFDP1;RBL1;E2F1;EP300;E2F3;E2F4
KEGG_2019_Human	Transcriptional misregulation in cancer	13/186	1.2005840169298004e-09	1.2325995907145953e-07	0	0	9.509180016092456	195.3229100511944	ZBTB17;MAX;CEBPE;SIX1;HOXA10;HHEX;MYCN;BCL6;EWSR1;SP1;TLX1;RARA;NUPR1
KEGG_2019_Human	Pathways in cancer	19/530	1.2713657215723657e-08	9.789516056107215e-07	0	0	4.877422667180079	88.67441713497342	RB1;NCOA1;ZBTB17;TCF7L2;CREBBP;SMAD4;SMAD3;MAX;FOS;HIF1A;APC;SP1;HEY2;E2F1;RARA;STAT4;RARB;EP300;E2F3
KEGG_2019_Human	Cellular senescence	11/160	2.821230606420499e-08	1.737878053555027e-06	0	0	9.35374149659864	162.60083610398576	RB1;RBL2;SMAD3;RBL1;E2F1;NFATC3;E2F3;MYBL2;E2F4;FOXO3;SIRT1
KEGG_2019_Human	FoxO signaling pathway	10/132	4.9107781997796036e-08	2.5208661425535298e-06	0	0	10.307153164296023	173.46164009356622	RBL2;CREBBP;SMAD4;SMAD3;BCL6;FOXG1;EP300;FOXO4;FOXO3;SIRT1
KEGG_2019_Human	Breast cancer	10/147	1.3607014004173694e-07	5.987086161836425e-06	0	0	9.255402841408673	146.32880141196028	RB1;NCOA1;TCF7L2;APC;SP1;HEY2;E2F1;PGR;E2F3;FOS
KEGG_2019_Human	Hepatitis B	10/163	3.5704269633187266e-07	1.3746143808777094e-05	0	0	8.346897041024999	123.913112681021	RB1;CREBBP;SMAD4;SMAD3;E2F1;NFATC3;STAT4;EP300;E2F3;FOS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	11/219	6.785487812578205e-07	2.322144718082319e-05	0	0	6.833783741807225	97.06234529848301	RB1;EGR1;CREBBP;SMAD4;SMAD3;CRTC1;E2F1;NFATC3;EP300;E2F3;FOS
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	9/139	8.912480351675963e-07	2.7450439483161966e-05	0	0	8.809279107326383	122.71892294641792	SMAD4;REST;SMAD3;APC;DLX5;ID4;PAX6;KLF4;TBX3
