TF	TFAs Ave.(E)	TFAs Ave.(IE)	TTS	p_val	FDR	negLog10_FDR
E4F1	1.5723294611165581	0.38360471567997234	11.935836272144995	1.1479580727564659e-26	7.19769711618304e-24	23.14280643269533
RBL1	1.7583532237022517	0.4518838360304247	11.472362173239823	2.6437255356904998e-24	1.6576159108779434e-21	20.780516093273345
E2F4	1.6124729742174708	0.3422954353599799	10.851878137966331	1.0085565879322901e-22	6.323649806335459e-20	19.1990321886113
RBL2	1.3665272659138477	0.19959510075116568	10.736672059524736	2.3106859363227236e-22	1.4488000820743477e-19	18.838991538091268
TP53	2.0150666097122616	0.5435462267171345	9.782714524989814	1.8805358374684908e-18	1.1790959700927437e-15	14.928450844959652
ID4	0.9164603986244102	0.1900636568912728	9.093103020126003	4.1193579982841055e-17	2.5828374649241343e-14	13.587902922633315
DLX4	0.9164603986244102	0.1900636568912728	9.093103020126003	4.1193579982841055e-17	2.5828374649241343e-14	13.587902922633315
E2F6	0.46457100596606343	0.00961842331700661	9.088228934470926	8.917541064383327e-17	5.5912982473683456e-14	13.252487341271701
ZHX2	1.4483162506377294	0.44980237567981557	8.914234529894449	1.0311527684568641e-16	6.465327858224538e-14	13.189409447054668
E2F8	0.5917428224531723	0.11465578933641334	8.45477764407302	6.111905956620382e-15	3.832165034800979e-12	11.416555796002672
E2F7	0.5917428224531723	0.11465578933641334	8.45477764407302	6.111905956620382e-15	3.832165034800979e-12	11.416555796002672
POLR1A	0.5917428224531723	0.11465578933641334	8.45477764407302	6.111905956620382e-15	3.832165034800979e-12	11.416555796002672
MSC	1.233451855802726	0.4077317161577669	8.236185530067837	9.224542892868414e-15	5.783788393828495e-12	11.23778760455753
BRCA1	1.257591059628672	0.33074179843774537	8.229593466394155	1.4992561047521742e-14	9.400335776796133e-12	11.026856633272082
SPEN	0.5560388561922628	0.09289377619240366	8.154936635201093	1.267171061817766e-14	7.945162557597392e-12	11.099897212724025
IRF1	1.3694978244454112	0.30998306329467235	7.9263654787642235	1.0185874584714375e-13	6.386543364615913e-11	10.1947341346197
SPDEF	1.1825176382008986	0.1258410283566305	7.822813233197676	2.15948843054139e-13	1.3539992459494516e-10	9.868381577512089
RB1	1.1076327524855654	0.26136254583817403	7.688316715420605	6.229632888506645e-13	3.9059798210936663e-10	9.408270004675996
SOX6	1.39442027225597	0.4684343208895127	7.65502134807185	6.270888778629471e-13	3.9318472642006784e-10	9.405403361033997
SF1	0.7342441296624166	0.013233817299176448	7.618797471022523	8.034305066881384e-13	5.037509276934627e-10	9.29778414106566
MITF	1.5758188284897687	0.3507641633230113	7.606841959744587	4.448198144935572e-13	2.7890202368746037e-10	9.554548334521657
ETV6	1.4175576401991428	0.5272468503318507	7.591933655879612	8.253450402175741e-13	5.17491340216419e-10	9.286096913364167
ATOH1	0.8020056738069106	-0.016144755858234817	7.589014819865765	5.02066540892626e-13	3.1479572113967647e-10	9.501971179419888
LMO4	0.3651673083715923	0.0753062760723401	7.560986545989585	7.837826327605202e-13	4.914317107408461e-10	9.308536823119615
CBX7	0.8008538550225756	0.09666958085489273	7.432835399948116	1.1540512654235643e-12	7.235901434205748e-10	9.140507357632027
NR4A1	0.7872804910513727	-0.003451015640214537	7.413100437458862	1.634715672481748e-12	1.024966726646056e-09	8.989290232821457
BTAF1	0.5872821086676082	0.03260194351477968	7.3933029111190605	2.851981405541066e-12	1.7881923412742485e-09	8.747585769510225
NR2F2	0.6871290711383371	0.08194848679679927	7.336299345109957	2.1631275252525398e-12	1.3562809583333425e-09	8.8676503355319
PAWR	0.6102882189354196	0.028708439327369495	7.306948094672197	4.600606165190863e-12	2.8845800655746715e-09	8.539917402084694
MEF2D	1.4764783667926533	0.3401544446611763	7.004668997859665	3.1714605621708614e-11	1.98850577248113e-08	7.701473143952296
YBX1	1.0852114592864237	0.1793689446449286	6.860929560273609	9.455776375995674e-11	5.928771787749288e-08	7.227035266340595
MYOCD	0.9082439777145871	0.026842806186556555	6.849098587474917	6.410550351893215e-11	4.019415070637046e-08	7.395837143452305
TCF19	0.7701871398469251	0.19810603670973964	6.843470108831104	5.1141508753370746e-11	3.206572598836346e-08	7.493958922933053
RUNX2	0.8652913695919489	0.03603846272328268	6.802973420266092	6.47956069839993e-11	4.0626845578967564e-08	7.3911868966209315
CRX	0.28624403189764797	0.05300977323796253	6.637274171448012	2.4596595487628697e-10	1.5422065370743194e-07	6.811857460328443
FOXO3	1.0118375333066865	0.30499774405472957	6.548594124067424	4.4231029558870787e-10	2.7732855533411983e-07	6.5570054106761795
ISL1	0.7014095374602809	-0.16650139681306225	6.490783392536066	7.124928487923798e-10	4.467330161928221e-07	6.34995194942992
ZBTB16	0.7608987097224679	0.04515609001448922	6.464034082871223	4.712215990427127e-10	2.954559425997809e-07	6.529507270492783
NR5A2	0.5083341826481109	-0.19260697853752495	6.421560936187381	6.879196041425853e-10	4.31325591797401e-07	6.3651947731393195
KLF10	1.1751917278510045	0.4126965408284946	6.395742317437272	1.07313704333713e-09	6.728569261723805e-07	6.172077272744189
ATF4	1.2684199654945079	0.3428120830144313	6.175712221093003	2.875002842880912e-09	1.8026267824863319e-06	5.74409418070124
NR4A3	0.7631557029529011	0.08412351675981194	5.996506776161448	8.97733902678951e-09	5.628791569797023e-06	5.249584832662047
MDM2	0.4960497610448003	-0.1694177775715573	5.979201523570279	6.8848390685009574e-09	4.3167940959501e-06	5.3648386659893905
KLF6	1.206733122669122	0.4760478381221576	5.938002439847086	1.2354931702097669e-08	7.746542177215238e-06	5.110892110198817
OTX1	0.4391603562855673	0.11859814807970033	5.806108648735129	2.1404037386582386e-08	1.3420331441387155e-05	4.872236758281183
TFAP2A	0.31286947066169435	-0.14321582546144337	5.591865746337636	6.76759516601195e-08	4.243282169089492e-05	4.372298087629102
ZNF160	1.1041486963377452	0.4225350489359807	5.544459886927526	8.114839478943432e-08	5.0880043532975314e-05	4.293452525777039
MLXIPL	0.8272162022009538	0.19468909129327794	5.535695774506054	7.569040587488322e-08	4.745788448355178e-05	4.323691625107241
ABL1	0.7819852091358385	0.2859889722700459	5.463120021618573	1.2758976749154518e-07	7.999878421719883e-05	4.096916613155231
