TF	TFAs Ave.(E)	TFAs Ave.(IE)	TTS	p_val	FDR	negLog10_FDR
E4F1	1.5525130823941966	0.2550847929285127	10.596926608387902	1.4745480683140935e-18	9.245416388329366e-16	15.034073524625787
RBL1	1.4543968226935016	0.22900549577383394	10.21248805466107	1.0817153723367965e-17	6.782355384551714e-15	14.168619457626928
ID4	0.9798665821111391	0.19758928706204054	9.836832746601445	3.3665405336643614e-17	2.1108209146075546e-14	13.67554861136167
DLX4	0.9798665821111391	0.19758928706204054	9.836832746601445	3.3665405336643614e-17	2.1108209146075546e-14	13.67554861136167
E2F4	1.9635141817605029	0.6012303748532891	9.796524762905275	1.1142735744056377e-16	6.986495311523348e-14	13.155740628054795
TP53	1.7773773429302633	0.20159437090731724	9.621453022043903	2.7928189249215865e-16	1.7510974659258348e-13	12.756689680452402
RB1	1.3779628057810704	0.17709543453758736	9.396576332183859	1.4249110219528813e-15	8.934192107644566e-13	12.048944713337992
RBL2	1.3059758341586485	0.29264719593797267	8.409257393542104	1.5633298873623913e-13	9.802078393762194e-11	10.008681828466708
SOX6	1.1573901341410349	0.1599107184242249	8.278514413970251	9.900677274626802e-14	6.207724651191005e-11	10.207067554816943
ZHX2	1.3385181794438246	0.36027389210663563	7.964400062885485	1.6578891900626678e-12	1.0394965221692927e-09	8.983176959343778
KLF6	1.0591234133759546	0.12473738488405345	7.929498887363661	4.765203489160111e-13	2.987782587703389e-10	9.52465100806012
IRF1	1.6809795034975026	0.2780498902286898	7.496606894562923	1.87839631004646e-11	1.1777544863991304e-08	7.928945232736364
MSC	1.179738988811498	0.17418566701359636	7.24260573569101	7.357136362881487e-11	4.612924499526692e-08	7.336023653500832
E2F7	0.5831938533029482	0.07939053868591849	7.155988529942633	1.2655631343186307e-10	7.935080852177814e-08	7.100448643770408
POLR1A	0.5831938533029482	0.07939053868591849	7.155988529942633	1.2655631343186307e-10	7.935080852177814e-08	7.100448643770408
E2F8	0.5831938533029482	0.07939053868591849	7.155988529942633	1.2655631343186307e-10	7.935080852177814e-08	7.100448643770408
BHLHE41	0.8930823407264384	0.15756910272520383	6.939973094041827	1.4069837752949917e-10	8.821788271099599e-08	7.0544433697945825
RFX1	0.8224120913480755	-0.21321021166557852	6.919710833048201	3.2308044347352126e-10	2.0257143805789782e-07	6.693421788829093
PURA	0.7386146537401372	-0.07177057881371615	6.911286855732741	2.0973957149014125e-10	1.3150671132431856e-07	6.881052082788351
MLXIPL	1.2309936278895708	0.34767886949592225	6.830055083409957	2.08590119585794e-10	1.3078600498029283e-07	6.883438726080662
PIAS1	0.8980486594755033	-0.017967993925226695	6.583523885522598	1.3335508628577236e-09	8.361363910117927e-07	6.077722874436091
YBX1	1.3635582836415971	0.33958057050887464	6.583419208219916	1.8281086527674394e-09	1.1462241252851844e-06	5.940730454918606
CRX	0.34241156491798713	0.09331768760287142	6.5059147128719275	2.4605995745272653e-09	1.5427959332285954e-06	5.811691514593854
KLF4	0.5960117789746969	-0.013522341227599073	6.44321857779892	2.242239313023864e-09	1.4058840492659628e-06	5.852050496414703
ETV6	1.0974119361202794	0.28014466607508004	6.422319164577453	2.8414051704876133e-09	1.7815610418957336e-06	5.749199292760444
ZBTB16	0.8135033716961529	0.014174659435069228	6.365121397410357	3.4032670054739184e-09	2.133848412432147e-06	5.670836435887455
CTBP1	0.6173188375175127	0.04997629920536178	6.36066432594879	3.3642299276300903e-09	2.1093721646240667e-06	5.675846789258457
ECD	0.21048854943386394	-0.02557532288391324	6.259997016632446	3.3067739809513844e-09	2.073347286056518e-06	5.6833279474065135
FOXO3	1.6252161534226246	0.5832214077035023	6.25700687591562	8.453125181115562e-09	5.300109488559458e-06	5.275715158741464
CBX7	0.93363725373019	0.24243675290320793	6.0943517438940775	1.2816915257872875e-08	8.036205866686293e-06	5.094948946286572
E2F6	0.34028838419001445	0.0031629395495646247	6.088433934556162	1.7398505166253387e-08	1.0908862739240874e-05	4.962220522722053
RUNX2	1.1714919907357986	-0.09523205050000054	5.928822626587973	3.2415346951425775e-08	2.032442253854396e-05	4.691981784818104
BTAF1	0.692129549497942	0.12571576921713218	5.645049809381256	1.1846846683617092e-07	7.427972870627917e-05	4.1291296911140165
APBB1	0.7825809068586028	0.32366431762164494	5.625058677279231	1.0274886965600108e-07	6.442354127431267e-05	4.190955406284063
FHL2	0.8723622768627567	0.15652250658362926	5.591843697702054	1.3804215520891053e-07	8.655243131598691e-05	4.062720727993253
APC	0.957820323963767	0.17554341666233894	5.549746446245573	2.0778899607374954e-07	0.00013028370053824097	3.8851099143648113
ASCL1	0.947636104418373	0.2120054987528745	5.5365790068091965	1.8570580118660533e-07	0.00011643753734400154	3.933906988472157
EGR3	0.43894643130371247	0.0524400333477858	5.505743802057884	1.7877180874346866e-07	0.00011208992408215485	3.950433424980343
TCF19	0.7601127533650731	0.23161419594365548	5.504959591730389	2.0207510600367967e-07	0.00012670109146430716	3.897219643878326
KLF2	0.9404644857689962	0.16985901264604533	5.459371244205297	2.8562291611002786e-07	0.00017908556840098746	3.746939410333799
SF1	0.6375972532495566	0.02789686767316767	5.43993608467254	2.7113104965595763e-07	0.00016999916813428543	3.769553203772158
MITF	1.2732114922196491	0.2985647122568085	5.424396770503257	2.5868055771884366e-07	0.00016219270968971498	3.7899686705483133
HEXIM1	0.7084607405602811	0.01734296780212261	5.412960229308044	2.6687023541851714e-07	0.00016732763760741025	3.776432320429854
SLC2A4RG	0.21626425342728972	0.03527390169235938	5.3415202223865155	4.16830571409455e-07	0.0002613527682737283	3.5827728954528295
PML	0.5639651345631701	0.14417053291476856	5.330582872498708	3.432867897128231e-07	0.00021524081714994009	3.6670753678472674
MXI1	1.0128982747666437	0.21238108204385478	5.25556008002902	9.326750081048772e-07	0.000584787230081758	3.2330021195754677
ENO1	1.0128982747666437	0.21238108204385478	5.25556008002902	9.326750081048772e-07	0.000584787230081758	3.2330021195754677
NR4A1	0.4911462085311048	-0.10956740933576109	5.246619983766064	5.22706915089653e-07	0.00032773723576121246	3.484474213585761
ZNF382	0.9865594099329388	0.2722839064545827	5.245193235085009	6.10600845334435e-07	0.00038284673002469076	3.4169750579556966
MSX1	0.8222732875564791	-0.200300241001903	5.199278546787198	7.709308468269669e-07	0.00048337364096050824	3.315717035967095
PKNOX1	0.6461680745980081	0.20262773052362917	5.144999686296414	1.1384728549323457e-06	0.0007138224800425807	3.146409779153244
FOXD3	0.5732328417433288	0.004550255573733583	5.043684942494885	1.377290019338162e-06	0.0008635608421250276	3.0637070588280624
NCOA3	0.45739812345966957	-0.01807843124560487	5.033196197528095	1.371861095262032e-06	0.000860156906729294	3.0654223190924075
SPEN	0.4074457922144712	0.040024486725147954	5.022987509114656	1.795527174272753e-06	0.0011257955382690161	2.9485404768598507
SPI1	0.5823991414774567	-0.09783121599364195	4.931365103309661	2.265150400007035e-06	0.001420249300804411	2.8476354158559216
ZNF350	0.6531679281720183	0.18508173935960973	4.897720210804232	3.0821067659548644e-06	0.0019324809422537	2.7138847803151314
RUVBL1	0.45977099249733966	-0.015379508036438639	4.861943020818189	3.708811087322241e-06	0.002325424551751045	2.6334977465802187
PAX2	0.45977099249733966	-0.015379508036438639	4.861943020818189	3.708811087322241e-06	0.002325424551751045	2.6334977465802187
YEATS4	0.45977099249733966	-0.015379508036438639	4.861943020818189	3.708811087322241e-06	0.002325424551751045	2.6334977465802187
EWSR1	0.9438191744389126	0.2392563938331605	4.835696690228489	3.69522323400104e-06	0.002316904967718652	2.6350917792621633
IFI16	0.5902422787925756	-0.005754143575764114	4.794622219434143	5.349459394818001e-06	0.0033541110405508868	2.4744225638228796
ATOH1	0.8360887261164179	0.12619415028346906	4.759806851559694	5.417965551118483e-06	0.0033970644005512887	2.4688962198244253
FOXP3	0.37813909654860445	0.00644005583926928	4.719623377974442	6.774707026269982e-06	0.004247741305471279	2.371841940379363
FOXQ1	0.7867334077380099	-0.06187186793026544	4.712680672324189	6.754352626075887e-06	0.0042349790965495815	2.37314872896387
