TF	TFAs Ave.(E)_A375	TFAs Ave.(IE)_A375	TTS_A375	p_val_A375	FDR_A375	negLog10_FDR_A375	TFAs Ave.(E)_HT29	TFAs Ave.(IE)_HT29	TTS_HT29	p_val_HT29	FDR_HT29	negLog10_FDR_HT29	TTS_SUM
E4F1	1.572	0.384	11.936	1.148e-26	7.198e-24	23.143	1.553	0.255	10.597	1.475e-18	9.245e-16	15.034	22.533
RBL1	1.758	0.452	11.472	2.644e-24	1.658e-21	20.781	1.454	0.229	10.212	1.082e-17	6.782e-15	14.169	21.684
E2F4	1.612	0.342	10.852	1.009e-22	6.324e-20	19.199	1.964	0.601	9.797	1.114e-16	6.986e-14	13.156	20.649
TP53	2.015	0.544	9.783	1.881e-18	1.179e-15	14.928	1.777	0.202	9.621	2.793e-16	1.751e-13	12.757	19.404
RBL2	1.367	0.200	10.737	2.311e-22	1.449e-19	18.839	1.306	0.293	8.409	1.563e-13	9.802e-11	10.009	19.146
ID4	0.916	0.190	9.093	4.119e-17	2.583e-14	13.588	0.980	0.198	9.837	3.367e-17	2.111e-14	13.676	18.930
DLX4	0.916	0.190	9.093	4.119e-17	2.583e-14	13.588	0.980	0.198	9.837	3.367e-17	2.111e-14	13.676	18.930
RB1	1.108	0.261	7.688	6.230e-13	3.906e-10	9.408	1.378	0.177	9.397	1.425e-15	8.934e-13	12.049	17.085
ZHX2	1.448	0.450	8.914	1.031e-16	6.465e-14	13.189	1.339	0.360	7.964	1.658e-12	1.039e-09	8.983	16.878
SOX6	1.394	0.468	7.655	6.271e-13	3.932e-10	9.405	1.157	0.160	8.279	9.901e-14	6.208e-11	10.207	15.934
POLR1A	0.592	0.115	8.455	6.112e-15	3.832e-12	11.417	0.583	0.079	7.156	1.266e-10	7.935e-08	7.100	15.611
E2F8	0.592	0.115	8.455	6.112e-15	3.832e-12	11.417	0.583	0.079	7.156	1.266e-10	7.935e-08	7.100	15.611
E2F7	0.592	0.115	8.455	6.112e-15	3.832e-12	11.417	0.583	0.079	7.156	1.266e-10	7.935e-08	7.100	15.611
MSC	1.233	0.408	8.236	9.225e-15	5.784e-12	11.238	1.180	0.174	7.243	7.357e-11	4.613e-08	7.336	15.479
IRF1	1.369	0.310	7.926	1.019e-13	6.387e-11	10.195	1.681	0.278	7.497	1.878e-11	1.178e-08	7.929	15.423
E2F6	0.465	0.010	9.088	8.918e-17	5.591e-14	13.252	0.340	0.003	6.088	1.740e-08	1.091e-05	4.962	15.176
ETV6	1.418	0.527	7.592	8.253e-13	5.175e-10	9.286	1.097	0.280	6.422	2.841e-09	1.782e-06	5.749	14.014
KLF6	1.207	0.476	5.938	1.235e-08	7.747e-06	5.111	1.059	0.125	7.929	4.765e-13	2.988e-10	9.525	13.867
CBX7	0.801	0.097	7.433	1.154e-12	7.236e-10	9.141	0.934	0.242	6.094	1.282e-08	8.036e-06	5.095	13.527
YBX1	1.085	0.179	6.861	9.456e-11	5.929e-08	7.227	1.364	0.340	6.583	1.828e-09	1.146e-06	5.941	13.444
SPEN	0.556	0.093	8.155	1.267e-14	7.945e-12	11.100	0.407	0.040	5.023	1.796e-06	1.126e-03	2.949	13.178
